Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,9.820186877229341e-05,0.00017205239517131235,0.00017159550241546896,9.895340789472144e-05
175 - 200 m,0.00045495256138155214,0.0007278635557480433,0.0007262403770361252,0.0004586445830109453
200 - 225 m,6.11882604938914e-05,8.902316869548344e-05,8.886424030706103e-05,6.174416440091684e-05
225 - 250 m,7.17793665832111e-05,0.00010004401496189679,9.988551427005616e-05,7.248247399654182e-05
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,3.3906162083573307e-06,4.2413513506585695e-06,4.236789152505663e-06,3.422416320350654e-06
300 - 325 m,3.622098549752939e-07,4.463992042227467e-07,4.4595011312103437e-07,3.657355855378861e-07
325 - 350 m,4.41857498749116e-07,5.356231213063125e-07,5.351875765684702e-07,4.55664346055557e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
