Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,1.230658752161849e-05,4.233383153510665e-05,0.00012012450115847413,0.00047220991036965403,0.00029211499846579144
175 - 200 m,0.0002916080899170237,0.0007677783896317035,0.0017394420041477766,0.005121771699092979,0.0035174977654188395
200 - 225 m,4.932326372343728e-05,0.00010339817171523725,0.000193508250912725,0.0004494585615832822,0.0003376926827666359
225 - 250 m,0.00033107089237869393,0.0006142225589375992,0.0010370088611540947,0.002107532219259253,0.0016607353655531468
250 - 275 m,7.948767046954661e-05,0.00012950153967860396,0.0001958696352633469,0.00034359462591021224,0.00028470792465740884
275 - 300 m,1.3968853524929281e-05,2.106786037462618e-05,2.987066937777517e-05,4.83983330597851e-05,4.1346098854008455e-05
300 - 325 m,4.5615567490768787e-07,6.570935982412465e-07,8.968692286975183e-07,1.3927449765763118e-06,1.2120962274387823e-06
325 - 350 m,4.022682922728826e-06,5.3966308003563206e-06,6.934452487342973e-06,9.920719291037346e-06,8.873893866430074e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,1.5574816181374265e-07,1.895271283562692e-07,2.2448343240083268e-07,2.912327461232136e-07,2.708079298067281e-07
