Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.0002541586410027677,0.00023193807728517555,1.3940180526709472e-05
175 - 200 m,0.002740086137014389,0.002539746167179553,0.00025624920424515346
200 - 225 m,0.00038834679114174047,0.00036652799657069273,5.700802269915965e-05
225 - 250 m,0.000850830571706898,0.0008060216944497645,0.00015203872832503297
250 - 275 m,5.184368961826764e-05,4.977801919627599e-05,1.3007470741177896e-05
275 - 300 m,4.31247764222249e-05,4.166898921021438e-05,1.3670661662059562e-05
300 - 325 m,5.992278542520103e-05,5.804941991779875e-05,2.0847382456359045e-05
325 - 350 m,9.482455026514477e-06,9.227997212696787e-06,3.9000384737762795e-06
350 - 375 m,7.752244405513546e-07,7.565059346169532e-07,3.5310018998879646e-07
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
