Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0008470923371402845,0.0007960828955081031,5.6119476860092486e-05,4.702448041898324e-05
175 - 200 m,0.004075012407630531,0.003932955192807124,0.0004416660319713231,0.0003863045935094903
200 - 225 m,0.0004668521455845176,0.0004603339961146768,6.617620341686045e-05,5.97229752800724e-05
225 - 250 m,0.00037529333756074017,0.00037546886042165824,6.664160270601346e-05,6.149308085886919e-05
250 - 275 m,0.0005599602422255115,0.0005662403107344333,0.00012291878908137006,0.00011543294645936185
275 - 300 m,0.000735239498672533,0.0007507033572563867,0.00018228848018669142,0.00017358686512623125
300 - 325 m,8.706949820695077e-05,8.907365935545909e-05,2.379581445935722e-05,2.277206693988211e-05
325 - 350 m,0.00010402899314624938,0.00010677027308590018,3.263714289116375e-05,3.147592537567293e-05
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
