Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,5.754178879786001e-05,0.0002923448894751668,0.0008064411060274204,0.000798182742387046
175 - 200 m,0.0006801549754057727,0.00304175892687848,0.007487363973095496,0.007731274022507424
200 - 225 m,0.0001073540764899066,0.00031750970995686885,0.0005982494506150232,0.0005892144946734331
225 - 250 m,0.0005060536099052032,0.00140475058683464,0.0025543571777619013,0.0026561297787853484
250 - 275 m,0.00010837801259519177,0.00024336483863750008,0.0003904377136732401,0.00040351131311976103
275 - 300 m,2.34117994686743e-05,4.429745772429899e-05,6.35390953694821e-05,6.334993278798855e-05
300 - 325 m,5.427924431100784e-07,1.0023760682421713e-06,1.4254853628472578e-06,1.4748661236225829e-06
325 - 350 m,5.770711742125236e-06,8.7615337050336e-06,1.0861452585774291e-05,1.0324917471335171e-05
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
