Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,5.438360841477946e-07,5.431910607832766e-07,2.789381144164136e-07,3.1607020898049555e-07
175 - 200 m,5.701904012384083e-07,5.695889346571632e-07,3.218448777247216e-07,3.574717665698305e-07
200 - 225 m,1.2530930979851153e-05,1.2514542613369363e-05,6.669666883115502e-06,7.247480486388764e-06
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,3.883199656630352e-06,3.878470284326072e-06,2.277191765655887e-06,2.4077352601501436e-06
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
