Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,8.4585988012837e-05,0.0001483845569024928,0.00021965885655849272,9.869271582760221e-05,1.921112245544114e-05
175 - 200 m,0.0005591970081363763,0.0008449118356389403,0.0011292683850318268,0.0006289610328008016,0.00018896419198633293
200 - 225 m,0.0001579269106000663,0.00022400929048663768,0.0002872509016374379,0.00017703680722302488,6.457386398953579e-05
225 - 250 m,3.706269478859247e-05,5.002830293383318e-05,6.220838911563187e-05,4.187949106625367e-05,1.793662667070497e-05
250 - 275 m,9.861489574041335e-06,1.2692215843477304e-05,1.5319841235512863e-05,1.1217425027237944e-05,5.601239096583075e-06
275 - 300 m,2.8625372617151873e-06,3.5631992500568843e-06,4.2020583159385765e-06,3.2248632538395734e-06,1.773200542815007e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,2.369994451753065e-06,2.5915644779485957e-06,2.7871439231350405e-06,2.551258454354432e-06,2.0299998551105493e-06
