Ship Length,Pier 1,Pier 2
150 - 175 m,2.7481104877247403e-05,2.8283998992227178e-05
175 - 200 m,0.00034237453723658383,0.0003505640823870216
200 - 225 m,1.567177121171759e-05,1.599706357674118e-05
225 - 250 m,3.085518770798445e-05,3.137306979553001e-05
250 - 275 m,4.624211395458702e-07,4.681719475899202e-07
275 - 300 m,3.420446002354971e-07,3.4589216091917346e-07
300 - 325 m,0.0,0.0
325 - 350 m,1.9428504129026383e-06,1.9591427744247645e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
