Ship Length,Pier 1,Pier 2
150 - 175 m,0.00022604982113195497,0.0009597857798099114
175 - 200 m,0.00270581009042646,0.008502629650539977
200 - 225 m,0.0004458966031911536,0.0010782208420442997
225 - 250 m,0.001389884009275448,0.002939454346100803
250 - 275 m,0.0003106235637855985,0.0005895187864543656
275 - 300 m,0.0002900597889433993,0.0004945319479327896
300 - 325 m,0.00019839908426117248,0.0003238712255918924
325 - 350 m,6.016512996364539e-05,9.394406533866516e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,4.3836510423574547e-07,6.004522515743744e-07
