Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,8.758227246894013e-05,0.00014799004092445423,0.00016026518371096515,9.217923467915793e-05
175 - 200 m,0.0004376146648430392,0.0006907368224257475,0.0007422481906210261,0.0004568637664561151
200 - 225 m,2.929472270661621e-05,4.455163225915738e-05,4.76996117706164e-05,3.0431673051364632e-05
225 - 250 m,1.8315008802653305e-05,2.7185229024034815e-05,2.9043284865737193e-05,1.8960367390463024e-05
250 - 275 m,1.71197489774408e-06,2.376391043830168e-06,2.516977942551198e-06,1.7594972980883218e-06
275 - 300 m,7.4962989037215845e-06,1.025636660395459e-05,1.0845253033067728e-05,7.690853711976016e-06
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,4.79136650198044e-07,6.120658502176206e-07,6.403009719382407e-07,4.885776445025915e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
