Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,4.304939055937979e-14,1.0600776154503967e-09,2.0772760523889093e-08
175 - 200 m,3.062553037048113e-12,5.620071978487039e-09,5.1641521264443365e-08
200 - 225 m,2.2796577314363252e-10,5.043443089862592e-08,2.528099334739267e-07
225 - 250 m,1.7079058200790614e-09,1.8651395744326732e-07,7.600739327941223e-07
250 - 275 m,9.510727813855503e-09,3.4214923840037264e-07,1.0116313195492435e-06
275 - 300 m,4.188031805214068e-08,7.083508702958964e-07,1.685820013357868e-06
300 - 325 m,3.9729141089661746e-08,5.378425450918443e-07,1.1935422427728098e-06
325 - 350 m,1.8783836811626274e-07,1.6171086463595943e-06,3.1438319526654987e-06
350 - 375 m,1.133389707233873e-07,6.783308818270521e-07,1.1873380373362304e-06
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
