Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0,0.0,0.0,0.0
175 - 200 m,6.286736052437101e-07,6.280605443058549e-07,3.804506730053605e-07,3.7174274127255954e-07
200 - 225 m,1.2857957951687287e-05,1.2841144255572173e-05,6.999929735562376e-06,6.9261070228875625e-06
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
