Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0,0.0,0.0,0.0
175 - 200 m,2.9711455967317984e-06,3.3796699181788294e-06,2.599532760078042e-06,1.8665787785721353e-06
200 - 225 m,2.7861013562387105e-06,3.0957574909793054e-06,2.518021338478403e-06,1.9347720516804106e-06
225 - 250 m,3.748621158672882e-05,4.144229607881334e-05,3.449600351533694e-05,2.7171215262000222e-05
250 - 275 m,4.264373009804068e-07,4.666168047675048e-07,3.992589450789912e-07,3.2487762516180663e-07
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
