Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175 - 200 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200 - 225 m,7.563520518958697e-08,1.8382738951989186e-07,2.3005148911260755e-07,2.7927613404510223e-07,3.2484869328643655e-07,3.5439922597732233e-07,3.9477429758108065e-07,3.068697273112457e-07,1.9633370446401346e-07,1.485574416163451e-07,8.72313263320561e-08
225 - 250 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,1.507391063234992e-06,2.8485209551033747e-06,3.1551580376900087e-06,3.2610368273051932e-06,3.349200877943508e-06,3.3940122147676084e-06,3.4882063565281853e-06,3.333393082583687e-06,3.0719609676033644e-06,2.9289284904999e-06,1.6856675035649695e-06
