Ship Length,Pier 1,Pier 2
150 - 175 m,3.932901081211863e-05,3.810116931239061e-05
175 - 200 m,0.0005647886675914403,0.0005516297278389142
200 - 225 m,5.507360060957923e-05,5.3877195420386754e-05
225 - 250 m,7.153796377171408e-05,7.032067428463146e-05
250 - 275 m,3.6941396250416015e-07,3.650079700295658e-07
275 - 300 m,2.8861473259653026e-07,2.8549533140518045e-07
300 - 325 m,0.0,0.0
325 - 350 m,0.0,0.0
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,7.873989327126508e-08,7.836002260285868e-08
