Ship Length,Pier 1,Pier 2
150 - 175 m,1.7804714196555182e-05,8.94020525486519e-06
175 - 200 m,0.00027225215913475454,0.00013717347366816354
200 - 225 m,2.461046651933864e-05,1.2285369311339616e-05
225 - 250 m,1.4539130826954395e-05,7.2888071415219035e-06
250 - 275 m,7.0587187423177046e-06,3.530658729099122e-06
275 - 300 m,1.1588761788256486e-05,5.779892240314797e-06
300 - 325 m,9.318220185729643e-07,4.6498312752606076e-07
325 - 350 m,4.224147055951577e-07,2.132021475302368e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
