Ship Length,Pier 1,Pier 2
150 - 175 m,0.00019442373927334961,0.000841675043076579
175 - 200 m,0.0022474665473717513,0.007539808936510137
200 - 225 m,0.0003661092707729943,0.0009443424795110773
225 - 250 m,0.0011355728307679614,0.00263082137509292
250 - 275 m,0.0002539488504975866,0.0005279671756188083
275 - 300 m,0.00023575773630966766,0.00043898847964624836
300 - 325 m,0.00016166032190420787,0.00028804462388368993
325 - 350 m,5.068996749603144e-05,8.630302316391027e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,3.6277904895262567e-07,5.412118198949732e-07
