Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17
150 - 175 m,9.386144187057582e-09,7.355183884224806e-08,9.499832569238585e-07,2.1237790620950388e-06,2.6490519985349916e-05,0.00014614792888025175,5.6827672199488004e-05,4.142721449738232e-05,8.762345802369287e-06,2.391384984777034e-06,5.754948225961676e-07,1.202618706084846e-07,2.1584596580831447e-08,7.813097331360596e-09,2.975115557912744e-09,9.503602394807775e-10,7.511077477246128e-11
175 - 200 m,8.127390411480035e-07,3.2182195592133594e-06,2.0685337010218725e-05,3.0713232195737995e-05,0.00017151789056077987,0.0005374830260557965,0.00027756728567226015,0.0002578158654219713,7.964298623442168e-05,3.3382564015153077e-05,1.2875863472673047e-05,4.548032607998755e-06,1.4341864415388574e-06,7.190985142388247e-07,3.774750526883466e-07,1.7691072093205682e-07,3.233429288205725e-08
200 - 225 m,2.6715689154217783e-06,7.886872502081252e-06,3.791847523391405e-05,4.677907436080536e-05,0.00018532077394510914,0.0004552941751049093,0.0002651119377568795,0.00027550487870014665,9.937743960321435e-05,5.0093354164167e-05,2.366767654521252e-05,1.0482818850937611e-05,4.210743408889254e-06,2.4266761981406937e-06,1.4625896608085065e-06,8.087140897831792e-07,2.1194356094195633e-07
225 - 250 m,2.960760001592632e-06,8.14295025954297e-06,3.6425080329147106e-05,4.3056645951633913e-05,0.00015692611888840226,0.0003635501059566804,0.00021802124341334064,0.00023233724837105042,8.716605550386683e-05,4.5938539330635375e-05,2.279355716079235e-05,1.0660914833418104e-05,4.540164456793613e-06,2.7064418165430367e-06,1.6864633136403832e-06,9.703534333715436e-07,2.7741635015643656e-07
250 - 275 m,1.0913790916030569e-08,2.401731222449042e-08,7.160686061737274e-08,8.748473398454383e-08,2.3469018639306673e-07,4.516640066637355e-07,3.0892697352434275e-07,3.037221722301158e-07,1.5103762128207365e-07,9.176018811907194e-08,5.3152378105983283e-08,2.9274781613951363e-08,1.510848437894574e-08,1.0174236799708414e-08,7.031729199796776e-09,4.553579180416257e-09,1.719319743824286e-09
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
