Ship Length,Pier 1,Pier 2
150 - 175 m,7.627158879062063e-06,6.0698187208011206e-05
175 - 200 m,0.00010828946546119127,0.0005260771559742572
200 - 225 m,1.363654063628699e-05,5.073329513620914e-05
225 - 250 m,1.8011809093805196e-05,5.1916538918051856e-05
250 - 275 m,1.4991429096796142e-06,3.372553020800611e-06
275 - 300 m,4.6718024671613456e-07,9.221014299426999e-07
300 - 325 m,1.8942825419259868e-07,3.5311853057996456e-07
325 - 350 m,1.3357099493925207e-06,2.238858189734253e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
