Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9
150 - 175 m,5.686693560086152e-06,1.2260128940055415e-05,2.572746208943497e-05,2.6077117890040606e-05,1.0488457255839756e-05,5.289853326329275e-06,2.1315056938029043e-06,7.241076100119982e-07,2.041439226302011e-07
175 - 200 m,0.0001668911607927372,0.0003086253917461435,0.0005478029129602666,0.0005534812039862177,0.0002689196744537504,0.00015761087621536066,7.726708313798221e-05,3.313392686346229e-05,1.227455006095446e-05
200 - 225 m,2.9613798716061635e-05,4.920090205332308e-05,7.569786988523615e-05,7.626009739410521e-05,4.2615958676818504e-05,2.8286351573186484e-05,1.622389892437332e-05,8.383262918397537e-06,3.863895221731321e-06
225 - 250 m,8.92884957260377e-05,0.00013628078411914685,0.00018909012067333766,0.00019010518357476505,0.00011831917905461048,8.603003616356407e-05,5.545163044506685e-05,3.2913942192424674e-05,1.78464683190527e-05
250 - 275 m,0.0001099873307684028,0.00015825967426403195,0.0002038081432601014,0.00020459635452495578,0.00013735765034598914,0.0001066241053796093,7.469045078887342e-05,4.894029856810404e-05,2.9795547281018052e-05
275 - 300 m,0.0003564545189755764,0.0004885123370891805,0.0005957786290198778,0.0005974573523030406,0.0004260470880025219,0.0003472291550899465,0.0002591190587295076,0.00018303509896798058,0.00012169507663555219
300 - 325 m,0.00010902141794761925,0.0001448215569231225,0.00017362942156066231,0.00017408294049545063,0.000128301543820874,0.0001064700295684907,8.161948195542006e-05,5.952553321918767e-05,4.1090731483582515e-05
325 - 350 m,1.8656048007922614e-05,2.3956659268460345e-05,2.7712098068570532e-05,2.7765748615944533e-05,2.1325552055822344e-05,1.827955993862037e-05,1.462043795400399e-05,1.1213953833763427e-05,8.212247188153788e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
