Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16
150 - 175 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175 - 200 m,9.885644388114412e-08,1.9106032137947168e-07,3.7087091111415104e-07,7.126346391698692e-07,1.1947045458800188e-06,1.8563704923129942e-06,2.5431869863919163e-06,3.2045696873082836e-06,3.655010420910546e-06,2.829131417481388e-06,2.036493636817463e-06,1.3249101549417037e-06,7.745514477515121e-07,4.408690888517337e-07,2.2033698806110539e-07,9.896344871228461e-08
200 - 225 m,1.7970969994573948e-07,3.017086093012713e-07,5.079732493309068e-07,8.519168732282287e-07,1.2777620021044678e-06,1.8075129912926176e-06,2.3126515962769722e-06,2.7787007611319625e-06,3.0938934672483673e-06,2.5292182800321573e-06,1.947381387801914e-06,1.386351068063285e-06,9.10351811744366e-07,5.833464456218423e-07,3.3792176051213574e-07,1.8009101633917902e-07
225 - 250 m,3.2955833748293696e-06,5.218830228485216e-06,8.27687067181378e-06,1.3176293645610383e-05,1.8850155862428464e-05,2.5655807570341912e-05,3.1864900484584846e-05,3.762266439789648e-05,4.166963833980487e-05,3.4839873021514967e-05,2.7491415716263247e-05,2.0272846059076824e-05,1.3995129374950937e-05,9.397951523147646e-06,5.783772415354723e-06,3.309184234274609e-06
250 - 275 m,5.3666298170646164e-08,7.927883298896799e-08,1.1718066064626198e-07,1.7464063014178777e-07,2.364136023079393e-07,3.072280872968238e-07,3.6878344411860023e-07,4.255821293937503e-07,4.664047375916023e-07,4.005981735583759e-07,3.264743330968731e-07,2.515445698603254e-07,1.8399698914563256e-07,1.3091345469733166e-07,8.66405832248498e-08,5.393917490626731e-08
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
