Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,3.813231915150295e-05,5.27513896063031e-06,4.5130922291273175e-07
175 - 200 m,0.00038112119029165244,8.379843716312674e-05,1.2815006421342538e-05
200 - 225 m,4.7825837106792396e-05,1.4135556431582916e-05,3.0644445841142544e-06
225 - 250 m,0.00012238642010429604,4.7735007562908215e-05,1.4866714896882413e-05
250 - 275 m,1.0345682109663449e-05,4.550186182982555e-06,1.6381878690018654e-06
275 - 300 m,1.8260088343793228e-06,8.846739629152243e-07,3.468332552763564e-07
300 - 325 m,9.463918344666595e-07,5.338427009759251e-07,2.578836749091378e-07
325 - 350 m,3.721850504506347e-06,2.342915722523664e-06,1.293233370919214e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,8.150465054229921e-07,5.926173234176278e-07,3.9127591083899157e-07
