Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15
150 - 175 m,4.144237818525653e-20,1.3354179359344073e-13,1.9014778052656896e-11,1.2302413633131408e-09,3.3031379443117436e-08,3.535059786013981e-07,1.3610498476678555e-06,1.8807730612684568e-06,9.484342926041424e-07,1.6925418125694235e-07,1.0454142244033626e-08,2.433071396410469e-10,2.4888576266590692e-12,2.121196018833871e-14,1.431681440067223e-16
175 - 200 m,3.127721964841523e-17,2.2756140915154515e-12,9.245565546003867e-11,2.08912166252179e-09,2.4439761345096455e-08,1.4379648109628202e-07,3.9390900154091195e-07,5.017600286532882e-07,3.01221899724065e-07,8.31051281691042e-08,1.0359129970411551e-08,6.243292937608836e-10,2.0296640638184373e-11,5.770301836349745e-13,1.3734476889126768e-14
200 - 225 m,1.3857806528464104e-14,6.711657864029332e-11,1.1126002123880522e-09,1.1974176874849855e-08,7.776633546986057e-08,2.9980523933460996e-07,6.45316181953113e-07,7.766094485399449e-07,5.302774910679147e-07,1.9955087121479e-07,4.0782572352955345e-08,4.856026967231753e-09,3.572346105529256e-10,2.3973274762667532e-11,1.3854591300876963e-12
225 - 250 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250 - 275 m,5.164166005354036e-12,1.5411022991803681e-09,1.0163446613218432e-08,5.0325703481969646e-08,1.7718952269422632e-07,4.394039754244472e-07,7.35950768973271e-07,8.338622372503308e-07,6.463363780695142e-07,3.351240258627337e-07,1.1502491093189659e-07,2.7554764876083658e-08,4.756710966289823e-09,7.743874371120008e-10,1.1349175701491632e-10
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
