Ship Length,Pier 1,Pier 2
150 - 175 m,0.00010101856803400686,8.011465746937411e-05
175 - 200 m,0.00035824491860154354,0.00036232726329825957
200 - 225 m,0.00010214499164789938,0.0001112308533224163
225 - 250 m,1.9206690200556046e-05,2.199766224686281e-05
250 - 275 m,0.00010640958613090763,0.00014245973702728398
275 - 300 m,4.135130576250096e-05,5.751916715472828e-05
300 - 325 m,4.125289933473238e-05,6.973123120202199e-05
325 - 350 m,3.287397778620149e-05,5.924840451797175e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
