Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9
150 - 175 m,5.6383347694261805e-06,1.2146407646467851e-05,2.5442178826805094e-05,2.5673351020519573e-05,1.0298712984796837e-05,5.185484982888099e-06,2.0857533985578755e-06,7.072606963064124e-07,1.9900768644446831e-07
175 - 200 m,0.00016762722461547525,0.00030972652638560657,0.0005488192256022893,0.0005525727064754741,0.00026799835652433396,0.00015690316343395437,7.683723658956934e-05,3.291417808718891e-05,1.2179863421516694e-05
200 - 225 m,2.9746250144150466e-05,4.9341960654278417e-05,7.570813307708282e-05,7.606124464200171e-05,4.250015123380029e-05,2.821995956723074e-05,1.6196417353174883e-05,8.376909591101789e-06,3.865718492978438e-06
225 - 250 m,9.069246637896858e-05,0.00013832825675079338,0.00019169512343788863,0.0001923096121680158,0.00011958482560094418,8.690729344140266e-05,5.599193995254938e-05,3.3221127604317343e-05,1.800633450953973e-05
250 - 275 m,0.00010915072406159285,0.00015698306656334037,0.0002019590841929748,0.00020238663816007154,0.00013576575281575406,0.00010534598403489949,7.376629364660509e-05,4.8317263642496145e-05,2.9406247588044606e-05
275 - 300 m,0.00035836823822110286,0.0004909666181010244,0.000598266089389916,0.0005990917925860624,0.00042691979181377643,0.00034782594588962163,0.0002594789413101586,0.00018323302026903215,0.00012179124973841142
300 - 325 m,0.00010877052725893504,0.00014445327218288046,0.00017309150389807255,0.00017331835614172697,0.00012764211148615236,0.00010587325816784438,8.112207169706231e-05,5.913271242979556e-05,4.07978536023403e-05
325 - 350 m,1.9122596324430656e-05,2.4550476739933047e-05,2.838432834402619e-05,2.8408250312471844e-05,2.180584571524411e-05,1.868463230809481e-05,1.493889682893133e-05,1.1453913418604138e-05,8.384731977996461e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
