Ship Length,Pier 1,Pier 2
150 - 175 m,3.808591114034348e-05,4.152222984681922e-05
175 - 200 m,0.0005593919914737375,0.0005962223812267745
200 - 225 m,5.478705363978686e-05,5.8123104405209656e-05
225 - 250 m,7.202367186292095e-05,7.535223639553858e-05
250 - 275 m,3.7108407901607254e-07,3.8275730011512387e-07
275 - 300 m,2.918049465078152e-07,2.9973762945117965e-07
300 - 325 m,0.0,0.0
325 - 350 m,0.0,0.0
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,8.324028421760455e-08,8.348901630034599e-08
