Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,0.0,0.0,0.0,0.0,0.0
175 - 200 m,9.376748821341365e-06,1.1371124325442973e-05,1.346242333506382e-05,9.710807421413126e-06,1.067933478616939e-05
200 - 225 m,1.5114041285621122e-06,1.7975529155064903e-06,2.0763498962152163e-06,1.4932320062109284e-06,1.6632285774800684e-06
225 - 250 m,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0
