Ship Length,Pier 1,Pier 2
150 - 175 m,0.00021119492973997045,0.000965480544703358
175 - 200 m,0.0024227730960162067,0.008513235127029107
200 - 225 m,0.0003933896790217865,0.0010648582909532954
225 - 250 m,0.0012148142822420661,0.002938078869830392
250 - 275 m,0.0002699225057969703,0.0005812491319379403
275 - 300 m,0.00025082053777359124,0.00048592345270069657
300 - 325 m,0.0001716399930366488,0.00031753281628006517
325 - 350 m,5.3713722604281545e-05,9.477970582004383e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,3.8482082475880033e-07,5.980305890154867e-07
