Ship Length,Pier 1,Pier 2
150 - 175 m,0.00010101856803400686,9.506054731760988e-05
175 - 200 m,0.00035824491860154354,0.00041928594257159107
200 - 225 m,0.00010214499164789938,0.00012827224514056878
225 - 250 m,1.9206690200556046e-05,2.5285336304720606e-05
250 - 275 m,0.00010640958613090763,0.00016170035985507236
275 - 300 m,4.135130576250096e-05,6.515684489571047e-05
300 - 325 m,4.125289933473238e-05,7.792587396905335e-05
325 - 350 m,3.287397778620149e-05,6.599008920470381e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
