Ship Length,Pier 1,Pier 2
150 - 175 m,1.970980900808385e-05,9.367241516919647e-06
175 - 200 m,0.0003083416006150689,0.00014834756727872595
200 - 225 m,2.8886025471828806e-05,1.3899469587692531e-05
225 - 250 m,1.539161740630571e-05,7.483896243145669e-06
250 - 275 m,7.796242828935566e-06,3.807832914077256e-06
275 - 300 m,1.285472711099794e-05,6.285985992542796e-06
300 - 325 m,1.0149053772909109e-06,4.977357237839062e-07
325 - 350 m,4.4962368817436444e-07,2.2355204353933744e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
