Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,4.324409157449975e-06,4.12287278583239e-06,9.485390171042742e-07
175 - 200 m,5.181789794460211e-06,5.062704069530859e-06,1.6956857300834095e-06
200 - 225 m,0.0,0.0,0.0
225 - 250 m,4.0281839225609744e-07,4.1017093182851894e-07,1.7998265745952313e-07
250 - 275 m,8.321768499167612e-07,8.480756620087009e-07,4.0615835090534347e-07
275 - 300 m,4.784134387035972e-07,4.85664568479e-07,2.72976210147875e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
