Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.0169265045141977e-05,1.854874730748856e-05,1.9502958874367257e-05,1.0048673176559958e-05
175 - 200 m,6.885577904398688e-05,0.00012083814062921381,0.00012678869141551126,6.81159609344791e-05
200 - 225 m,5.440736524352707e-07,7.874408380444959e-07,8.15229779448427e-07,5.405260316913123e-07
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,7.499544023556304e-07,1.1160321052930784e-06,1.158706354480237e-06,7.449760614481924e-07
300 - 325 m,7.045483134731558e-07,1.051558732211555e-06,1.092109869150228e-06,6.998692097159419e-07
325 - 350 m,4.221177513435673e-07,5.827857542857921e-07,6.01532201735666e-07,4.1993205048267087e-07
350 - 375 m,3.3973847389722803e-07,4.858000632631784e-07,5.029381421830526e-07,3.377934605638339e-07
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
