Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,4.952441370565493e-05,5.532197807149672e-06,4.716506373700817e-07
175 - 200 m,0.00047825112902649854,8.724872578092398e-05,1.3294489785447199e-05
200 - 225 m,6.24624716711171e-05,1.4836328259288942e-05,3.20442667324514e-06
225 - 250 m,0.00014949317922746455,4.942503083455272e-05,1.5337244264541135e-05
250 - 275 m,1.2479823795208305e-05,4.699767764717913e-06,1.6860486127350984e-06
275 - 300 m,2.5663921334276634e-06,9.435301624084482e-07,3.688792407747385e-07
300 - 325 m,1.1457038572497674e-06,5.517265444839921e-07,2.6555544134624466e-07
325 - 350 m,4.521276495954382e-06,2.422946284089727e-06,1.3324878172425203e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,9.735358152498466e-07,6.108698413723082e-07,4.019013661395166e-07
