Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.2146407646467851e-05,4.041767029204896e-05,4.0139783003004444e-05,1.0298712984796837e-05
175 - 200 m,0.00030972652638560657,0.0008271475838316355,0.0008207230008129517,0.00026799835652433396
200 - 225 m,4.9341960654278417e-05,0.00011371648855881894,0.00011260075986354054,4.250015123380029e-05
225 - 250 m,0.00013832825675079338,0.000283323444103121,0.0002802576328445421,0.00011958482560094418
250 - 275 m,0.00015698306656334037,0.0002963000413170937,0.00029283462621841394,0.00013576575281575406
275 - 300 m,0.0004909666181010244,0.0008638778254223356,0.0008535207655387741,0.00042691979181377643
300 - 325 m,0.00014445327218288046,0.00024131748036246804,0.00023864800567649212,0.00012764211148615236
325 - 350 m,2.4550476739933047e-05,3.900293691296752e-05,3.8570094636628244e-05,2.180584571524411e-05
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
