Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,9.524566775583263e-05,0.00012079852561920295,8.883562552419075e-05,0.00010403988699013122
175 - 200 m,0.0011864164551593935,0.0011422972539228186,0.0007660105886665441,0.0011678520884909902
200 - 225 m,9.296457262137145e-05,8.189822532274096e-05,5.5711441275779144e-05,9.117481106474831e-05
225 - 250 m,0.0014650688430849917,0.000939569453806578,0.0005414659338196017,0.0012669727190629193
250 - 275 m,0.0002518614838600745,0.00013475925087948686,7.009350793980952e-05,0.0002065919952639648
275 - 300 m,2.603933085327984e-05,1.5997667670017265e-05,9.536366971707032e-06,2.252523649482069e-05
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,2.131101032797719e-06,7.306183087893135e-07,2.84167528575555e-07,1.5847764584099402e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
