Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0,0.0,0.0,0.0
175 - 200 m,3.2045696873082836e-06,3.655010420910546e-06,2.829131417481388e-06,2.036493636817463e-06
200 - 225 m,2.7787007611319625e-06,3.0938934672483673e-06,2.5292182800321573e-06,1.947381387801914e-06
225 - 250 m,3.762266439789648e-05,4.166963833980487e-05,3.4839873021514967e-05,2.7491415716263247e-05
250 - 275 m,4.255821293937503e-07,4.664047375916023e-07,4.005981735583759e-07,3.264743330968731e-07
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
