Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00015125645589467266,0.0002919173418926297,1.95204756482297e-05
175 - 200 m,0.001551422924819803,0.002581209410951598,0.00031658874130009344
200 - 225 m,0.0001616208987570463,0.00024036926556858604,4.641574522542806e-05
225 - 250 m,0.0008123382799051759,0.0011264267328589491,0.00028993386845467057
250 - 275 m,0.00012997642898788438,0.00016882085183642797,5.692435326122432e-05
275 - 300 m,1.9018812140616557e-05,2.3547268138773033e-05,9.634551423544978e-06
300 - 325 m,1.0802570945825055e-06,1.3099479591588407e-06,5.820647352206825e-07
325 - 350 m,7.027768333671782e-06,8.205631631224241e-06,4.26423619158129e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,2.5377389654308266e-07,2.8139910915804345e-07,1.8000300862333465e-07
