Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,3.6131206484247016e-06,2.922513869492116e-06,6.050853347835261e-07
175 - 200 m,4.507308953964956e-06,3.938877328336188e-06,1.286521497170428e-06
200 - 225 m,0.0,0.0,0.0
225 - 250 m,4.1407167223645944e-07,3.9475627789861976e-07,1.6759723201449272e-07
250 - 275 m,4.2629443869512605e-07,4.099901805369508e-07,1.907368440477484e-07
275 - 300 m,4.877269625237036e-07,4.7281932657737573e-07,2.59691407501939e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
