Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,8.479251240684866e-06,1.6350755952931882e-05,1.0966354069491777e-05,7.054292844587257e-06
175 - 200 m,0.00013156790310763996,0.00020620369931627315,0.00013412599032290785,0.00011033048570182428
200 - 225 m,6.014746740990521e-06,8.365064154757965e-06,5.382052416656184e-06,5.0716808674804754e-06
225 - 250 m,1.397599912224617e-05,1.7048022700571878e-05,1.0996133904653863e-05,1.1893047476286087e-05
250 - 275 m,2.543282931034553e-07,2.2747636820316967e-07,1.3054275272184665e-07,2.1531780486525644e-07
275 - 300 m,1.9670598257765874e-07,2.0004467631962103e-07,1.3008523272753977e-07,1.6946783590126071e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,1.2052343327994025e-06,5.750804011576836e-07,4.052393515178112e-07,1.0002379915812607e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
